July 5, 2024   18:49:50
Amperometric i-t Curve
File: 13
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
Sample Interval (s) = 0.02
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Results:

Channel 1:

Time/sec, Current/A

2.000e-2, 8.135e-7
4.000e-2, 8.164e-7
6.000e-2, 8.238e-7
8.000e-2, 8.247e-7
1.000e-1, 8.159e-7
1.200e-1, 7.913e-7
1.400e-1, 7.917e-7
1.600e-1, 7.927e-7
1.800e-1, 7.789e-7
2.000e-1, 7.785e-7
2.200e-1, 8.039e-7
2.400e-1, 8.248e-7
2.600e-1, 8.259e-7
2.800e-1, 8.316e-7
3.000e-1, 7.940e-7
3.200e-1, 7.988e-7
3.400e-1, 7.860e-7
3.600e-1, 7.770e-7
3.800e-1, 7.843e-7
4.000e-1, 7.847e-7
4.200e-1, 7.949e-7
4.400e-1, 8.186e-7
4.600e-1, 8.307e-7
4.800e-1, 8.297e-7
5.000e-1, 8.491e-7
5.200e-1, 8.383e-7
5.400e-1, 8.435e-7
5.600e-1, 8.501e-7
5.800e-1, 8.511e-7
6.000e-1, 8.564e-7
6.200e-1, 8.532e-7
6.400e-1, 8.482e-7
6.600e-1, 9.003e-7
6.800e-1, 9.124e-7
7.000e-1, 1.316e-6
7.200e-1, 1.635e-6
7.400e-1, 1.644e-6
7.600e-1, 1.764e-6
7.800e-1, 1.799e-6
8.000e-1, 1.797e-6
8.200e-1, 1.785e-6
8.400e-1, 1.806e-6
8.600e-1, 1.917e-6
8.800e-1, 1.946e-6
9.000e-1, 1.961e-6
9.200e-1, 2.098e-6
9.400e-1, 2.042e-6
9.600e-1, 1.904e-6
9.800e-1, 1.874e-6
1.000e+0, 1.633e-6
1.020e+0, 1.586e-6
1.040e+0, 1.592e-6
1.060e+0, 1.637e-6
1.080e+0, 1.712e-6
1.100e+0, 1.718e-6
1.120e+0, 1.717e-6
1.140e+0, 1.706e-6
1.160e+0, 1.714e-6
1.180e+0, 1.737e-6
1.200e+0, 1.735e-6
1.220e+0, 1.852e-6
1.240e+0, 1.780e-6
1.260e+0, 1.778e-6
1.280e+0, 1.788e-6
1.300e+0, 1.798e-6
1.320e+0, 1.912e-6
1.340e+0, 1.943e-6
1.360e+0, 1.980e-6
1.380e+0, 2.019e-6
1.400e+0, 2.137e-6
1.420e+0, 2.136e-6
1.440e+0, 2.100e-6
1.460e+0, 2.210e-6
1.480e+0, 2.186e-6
1.500e+0, 2.100e-6
1.520e+0, 2.078e-6
1.540e+0, 2.057e-6
1.560e+0, 2.063e-6
1.580e+0, 2.070e-6
1.600e+0, 2.089e-6
1.620e+0, 2.097e-6
1.640e+0, 2.140e-6
1.660e+0, 2.018e-6
1.680e+0, 1.951e-6
1.700e+0, 1.933e-6
1.720e+0, 1.949e-6
1.740e+0, 1.963e-6
1.760e+0, 1.973e-6
1.780e+0, 1.975e-6
1.800e+0, 1.982e-6
1.820e+0, 1.979e-6
1.840e+0, 2.111e-6
1.860e+0, 2.239e-6
1.880e+0, 2.253e-6
1.900e+0, 2.269e-6
1.920e+0, 2.274e-6
1.940e+0, 2.246e-6
1.960e+0, 2.203e-6
1.980e+0, 2.155e-6
2.000e+0, 2.166e-6
2.020e+0, 2.214e-6
2.040e+0, 2.219e-6
2.060e+0, 2.179e-6
2.080e+0, 2.196e-6
2.100e+0, 2.206e-6
2.120e+0, 2.205e-6
2.140e+0, 2.205e-6
2.160e+0, 2.212e-6
2.180e+0, 2.241e-6
2.200e+0, 2.237e-6
2.220e+0, 2.252e-6
2.240e+0, 2.228e-6
2.260e+0, 2.213e-6
2.280e+0, 2.255e-6
2.300e+0, 2.222e-6
2.320e+0, 2.252e-6
