July 4, 2024   23:47:58
Amperometric i-t Curve
File: 0.3-0.03
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.3
Sample Interval (s) = 0.03
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-7

Results:

Channel 1:

Time/sec, Current/A

3.000e-2, 3.592e-8
6.000e-2, 3.536e-8
9.000e-2, 3.455e-8
1.200e-1, 3.405e-8
1.500e-1, 3.332e-8
1.800e-1, 3.297e-8
2.100e-1, 2.777e-8
2.400e-1, 3.332e-8
2.700e-1, 3.160e-8
3.000e-1, 3.116e-8
3.300e-1, 3.058e-8
3.600e-1, 3.069e-8
3.900e-1, 2.990e-8
4.200e-1, 2.986e-8
4.500e-1, 2.934e-8
4.800e-1, 2.915e-8
5.100e-1, 2.879e-8
5.400e-1, 2.873e-8
5.700e-1, 2.819e-8
6.000e-1, 2.816e-8
6.300e-1, 2.777e-8
6.600e-1, 2.785e-8
6.900e-1, 2.717e-8
7.200e-1, 2.730e-8
7.500e-1, 2.683e-8
7.800e-1, 2.756e-8
8.100e-1, 2.797e-8
8.400e-1, 2.757e-8
8.700e-1, 2.689e-8
9.000e-1, 2.636e-8
9.300e-1, 2.492e-8
9.600e-1, 2.788e-8
9.900e-1, 2.696e-8
1.020e+0, 2.691e-8
1.050e+0, 2.639e-8
1.080e+0, 2.660e-8
1.110e+0, 2.618e-8
1.140e+0, 2.629e-8
1.170e+0, 2.586e-8
1.200e+0, 2.599e-8
1.230e+0, 2.545e-8
1.260e+0, 2.557e-8
1.290e+0, 2.526e-8
1.320e+0, 2.542e-8
1.350e+0, 2.515e-8
1.380e+0, 2.533e-8
1.410e+0, 2.500e-8
1.440e+0, 2.525e-8
1.470e+0, 2.484e-8
1.500e+0, 2.486e-8
1.530e+0, 2.434e-8
1.560e+0, 2.522e-8
1.590e+0, 2.296e-8
1.620e+0, 2.297e-8
1.650e+0, 2.414e-8
1.680e+0, 2.398e-8
1.710e+0, 2.399e-8
1.740e+0, 2.415e-8
1.770e+0, 2.449e-8
1.800e+0, 2.456e-8
1.830e+0, 2.409e-8
1.860e+0, 2.425e-8
1.890e+0, 2.407e-8
1.920e+0, 2.408e-8
1.950e+0, 2.392e-8
1.980e+0, 2.395e-8
2.010e+0, 2.367e-8
2.040e+0, 2.378e-8
2.070e+0, 2.388e-8
2.100e+0, 2.399e-8
2.130e+0, 2.368e-8
2.160e+0, 2.385e-8
2.190e+0, 2.350e-8
2.220e+0, 2.365e-8
2.250e+0, 2.353e-8
2.280e+0, 2.371e-8
2.310e+0, 2.378e-8
2.340e+0, 2.365e-8
2.370e+0, 2.260e-8
2.400e+0, 2.328e-8
2.430e+0, 2.228e-8
2.460e+0, 2.232e-8
2.490e+0, 2.199e-8
2.520e+0, 2.236e-8
2.550e+0, 2.239e-8
2.580e+0, 2.259e-8
2.610e+0, 2.254e-8
2.640e+0, 2.251e-8
2.670e+0, 2.255e-8
2.700e+0, 2.272e-8
2.730e+0, 2.315e-8
2.760e+0, 2.320e-8
2.790e+0, 2.315e-8
2.820e+0, 2.319e-8
2.850e+0, 2.296e-8
2.880e+0, 2.310e-8
2.910e+0, 2.272e-8
2.940e+0, 2.310e-8
2.970e+0, 2.260e-8
3.000e+0, 2.248e-8
3.030e+0, 2.159e-8
3.060e+0, 2.203e-8
3.090e+0, 2.316e-8
3.120e+0, 2.322e-8
3.150e+0, 2.291e-8
3.180e+0, 2.404e-8
3.210e+0, 1.921e-8
3.240e+0, 2.000e-8
3.270e+0, 2.045e-8
3.300e+0, 2.108e-8
3.330e+0, 2.254e-8
3.360e+0, 2.257e-8
3.390e+0, 2.288e-8
3.420e+0, 2.269e-8
3.450e+0, 2.270e-8
3.480e+0, 2.279e-8
3.510e+0, 2.259e-8
3.540e+0, 2.259e-8
3.570e+0, 2.238e-8
3.600e+0, 2.248e-8
3.630e+0, 2.202e-8
3.660e+0, 2.232e-8
3.690e+0, 2.266e-8
3.720e+0, 2.271e-8
3.750e+0, 2.253e-8
3.780e+0, 2.258e-8
3.810e+0, 2.245e-8
3.840e+0, 2.253e-8
3.870e+0, 2.203e-8
3.900e+0, 2.250e-8
3.930e+0, 2.269e-8
3.960e+0, 2.248e-8
3.990e+0, 2.167e-8
4.020e+0, 2.138e-8
4.050e+0, 2.144e-8
4.080e+0, 2.200e-8
4.110e+0, 2.213e-8
4.140e+0, 2.218e-8
4.170e+0, 2.202e-8
4.200e+0, 2.209e-8
4.230e+0, 2.198e-8
4.260e+0, 2.218e-8
4.290e+0, 2.201e-8
4.320e+0, 2.215e-8
4.350e+0, 2.199e-8
4.380e+0, 2.212e-8
4.410e+0, 2.204e-8
4.440e+0, 2.210e-8
4.470e+0, 2.201e-8
4.500e+0, 2.203e-8
4.530e+0, 2.197e-8
4.560e+0, 2.215e-8
4.590e+0, 2.208e-8
4.620e+0, 2.207e-8
4.650e+0, 2.204e-8
4.680e+0, 2.173e-8
4.710e+0, 2.198e-8
4.740e+0, 2.208e-8
4.770e+0, 2.158e-8
4.800e+0, 2.182e-8
4.830e+0, 2.170e-8
4.860e+0, 2.196e-8
4.890e+0, 2.175e-8
4.920e+0, 2.183e-8
4.950e+0, 2.173e-8
4.980e+0, 2.182e-8
5.010e+0, 2.165e-8
5.040e+0, 2.173e-8
5.070e+0, 2.161e-8
5.100e+0, 2.167e-8
5.130e+0, 2.166e-8
5.160e+0, 2.172e-8
5.190e+0, 2.151e-8
5.220e+0, 2.174e-8
5.250e+0, 2.167e-8
5.280e+0, 2.168e-8
5.310e+0, 2.160e-8
5.340e+0, 2.174e-8
5.370e+0, 2.162e-8
5.400e+0, 2.174e-8
5.430e+0, 2.151e-8
5.460e+0, 2.154e-8
5.490e+0, 2.088e-8
5.520e+0, 2.248e-8
5.550e+0, 1.951e-8
5.580e+0, 2.047e-8
5.610e+0, 2.078e-8
5.640e+0, 2.095e-8
5.670e+0, 2.083e-8
5.700e+0, 2.093e-8
5.730e+0, 2.083e-8
