July 4, 2024   23:46:56
Amperometric i-t Curve
File: 0.4-0.03-2
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.4
Sample Interval (s) = 0.03
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-7

Results:

Channel 1:

Time/sec, Current/A

3.000e-2, 7.194e-8
6.000e-2, 6.767e-8
9.000e-2, 6.597e-8
1.200e-1, 6.436e-8
1.500e-1, 6.231e-8
1.800e-1, 6.131e-8
2.100e-1, 6.075e-8
2.400e-1, 6.089e-8
2.700e-1, 6.047e-8
3.000e-1, 5.945e-8
3.300e-1, 5.924e-8
3.600e-1, 5.774e-8
3.900e-1, 5.761e-8
4.200e-1, 5.787e-8
4.500e-1, 5.629e-8
4.800e-1, 5.645e-8
5.100e-1, 5.609e-8
5.400e-1, 5.543e-8
5.700e-1, 5.464e-8
6.000e-1, 5.628e-8
6.300e-1, 3.647e-8
6.600e-1, 3.576e-8
6.900e-1, 5.036e-8
7.200e-1, 5.274e-8
7.500e-1, 4.985e-8
7.800e-1, 5.290e-8
8.100e-1, 5.450e-8
8.400e-1, 5.386e-8
8.700e-1, 5.286e-8
9.000e-1, 5.205e-8
9.300e-1, 5.148e-8
9.600e-1, 5.133e-8
9.900e-1, 5.110e-8
1.020e+0, 5.083e-8
1.050e+0, 5.052e-8
1.080e+0, 5.033e-8
1.110e+0, 5.009e-8
1.140e+0, 4.985e-8
1.170e+0, 4.950e-8
1.200e+0, 4.934e-8
1.230e+0, 4.909e-8
1.260e+0, 4.936e-8
1.290e+0, 4.871e-8
1.320e+0, 4.833e-8
1.350e+0, 4.797e-8
1.380e+0, 4.881e-8
1.410e+0, 4.874e-8
1.440e+0, 4.785e-8
1.470e+0, 4.477e-8
1.500e+0, 4.606e-8
1.530e+0, 4.595e-8
1.560e+0, 4.621e-8
1.590e+0, 4.551e-8
1.620e+0, 4.546e-8
1.650e+0, 4.476e-8
1.680e+0, 4.429e-8
1.710e+0, 4.449e-8
1.740e+0, 4.441e-8
1.770e+0, 4.526e-8
1.800e+0, 4.556e-8
1.830e+0, 4.605e-8
1.860e+0, 4.567e-8
1.890e+0, 4.554e-8
1.920e+0, 4.565e-8
1.950e+0, 4.524e-8
1.980e+0, 4.449e-8
2.010e+0, 4.451e-8
2.040e+0, 4.437e-8
2.070e+0, 4.457e-8
2.100e+0, 4.475e-8
2.130e+0, 4.461e-8
2.160e+0, 4.542e-8
2.190e+0, 4.569e-8
2.220e+0, 4.549e-8
2.250e+0, 4.446e-8
2.280e+0, 4.361e-8
2.310e+0, 4.431e-8
2.340e+0, 4.447e-8
2.370e+0, 4.416e-8
2.400e+0, 4.340e-8
2.430e+0, 4.282e-8
2.460e+0, 4.250e-8
2.490e+0, 4.258e-8
2.520e+0, 4.294e-8
2.550e+0, 4.283e-8
2.580e+0, 4.231e-8
2.610e+0, 1.350e-9
2.640e+0, 5.385e-10
2.670e+0, 6.582e-10
2.700e+0, 4.549e-8
2.730e+0, 4.996e-8
2.760e+0, 4.470e-8
2.790e+0, 4.237e-8
