July 5, 2024   00:08:48
Amperometric i-t Curve
File: 0.3-0.03-3
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.3
Sample Interval (s) = 0.03
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Results:

Channel 1:

Time/sec, Current/A

3.000e-2, 2.379e-7
6.000e-2, 5.310e-7
9.000e-2, 1.102e-6
1.200e-1, 9.718e-7
1.500e-1, 1.171e-6
1.800e-1, 1.402e-6
2.100e-1, 1.270e-6
2.400e-1, 1.865e-6
2.700e-1, 2.512e-6
3.000e-1, 3.187e-6
3.300e-1, 3.723e-6
3.600e-1, 4.114e-6
3.900e-1, 4.440e-6
4.200e-1, 4.124e-6
4.500e-1, 4.145e-6
4.800e-1, 5.107e-6
5.100e-1, 5.640e-6
5.400e-1, 5.985e-6
5.700e-1, 6.187e-6
6.000e-1, 6.644e-6
6.300e-1, 7.335e-6
6.600e-1, 7.897e-6
6.900e-1, 7.774e-6
7.200e-1, 7.934e-6
7.500e-1, 8.015e-6
7.800e-1, 9.161e-6
8.100e-1, 9.878e-6
8.400e-1, 9.377e-6
8.700e-1, 1.013e-5
9.000e-1, 1.085e-5
9.300e-1, 1.160e-5
9.600e-1, 1.161e-5
9.900e-1, 1.222e-5
1.020e+0, 1.363e-5
1.050e+0, 1.440e-5
1.080e+0, 1.468e-5
1.110e+0, 1.455e-5
1.140e+0, 1.427e-5
1.170e+0, 1.406e-5
1.200e+0, 1.378e-5
1.230e+0, 1.406e-5
1.260e+0, 1.443e-5
1.290e+0, 1.520e-5
1.320e+0, 1.568e-5
1.350e+0, 1.646e-5
1.380e+0, 1.668e-5
1.410e+0, 1.701e-5
1.440e+0, 1.706e-5
1.470e+0, 1.717e-5
1.500e+0, 1.695e-5
1.530e+0, 1.665e-5
1.560e+0, 1.689e-5
1.590e+0, 1.700e-5
1.620e+0, 1.718e-5
1.650e+0, 1.742e-5
1.680e+0, 1.769e-5
1.710e+0, 1.801e-5
1.740e+0, 1.822e-5
1.770e+0, 1.836e-5
1.800e+0, 1.844e-5
1.830e+0, 1.848e-5
1.860e+0, 1.848e-5
1.890e+0, 1.824e-5
1.920e+0, 1.807e-5
1.950e+0, 1.822e-5
1.980e+0, 1.795e-5
2.010e+0, 1.820e-5
2.040e+0, 1.836e-5
2.070e+0, 1.847e-5
2.100e+0, 1.865e-5
2.130e+0, 1.890e-5
2.160e+0, 1.920e-5
2.190e+0, 1.917e-5
2.220e+0, 1.903e-5
2.250e+0, 2.002e-5
2.280e+0, 2.036e-5
2.310e+0, 2.048e-5
2.340e+0, 2.052e-5
2.370e+0, 2.058e-5
2.400e+0, 2.065e-5
2.430e+0, 2.087e-5
2.460e+0, 2.119e-5
2.490e+0, 2.141e-5
2.520e+0, 2.159e-5
2.550e+0, 2.158e-5
2.580e+0, 2.159e-5
2.610e+0, 2.163e-5
2.640e+0, 2.150e-5
2.670e+0, 2.182e-5
2.700e+0, 2.213e-5
2.730e+0, 2.234e-5
