July 4, 2024   23:25:54
Amperometric i-t Curve
File: 0.3-0.03
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.3
Sample Interval (s) = 0.03
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

Results:

Channel 1:

Time/sec, Current/A

3.000e-2, 1.037e-4
6.000e-2, 1.051e-4
9.000e-2, 1.060e-4
1.200e-1, 1.068e-4
1.500e-1, 1.071e-4
1.800e-1, 1.073e-4
2.100e-1, 1.078e-4
2.400e-1, 1.081e-4
2.700e-1, 1.082e-4
3.000e-1, 1.080e-4
3.300e-1, 1.081e-4
3.600e-1, 1.079e-4
3.900e-1, 1.077e-4
4.200e-1, 1.080e-4
4.500e-1, 1.091e-4
4.800e-1, 1.104e-4
5.100e-1, 1.111e-4
5.400e-1, 1.115e-4
5.700e-1, 1.120e-4
6.000e-1, 1.129e-4
6.300e-1, 1.137e-4
6.600e-1, 1.145e-4
6.900e-1, 1.152e-4
7.200e-1, 1.159e-4
7.500e-1, 1.166e-4
7.800e-1, 1.171e-4
8.100e-1, 1.174e-4
8.400e-1, 1.176e-4
8.700e-1, 1.180e-4
9.000e-1, 1.182e-4
9.300e-1, 1.181e-4
9.600e-1, 1.184e-4
9.900e-1, 1.184e-4
1.020e+0, 1.183e-4
1.050e+0, 1.186e-4
1.080e+0, 1.187e-4
1.110e+0, 1.189e-4
1.140e+0, 1.188e-4
1.170e+0, 1.190e-4
1.200e+0, 1.195e-4
1.230e+0, 1.209e-4
1.260e+0, 1.220e-4
1.290e+0, 1.230e-4
1.320e+0, 1.242e-4
1.350e+0, 1.256e-4
1.380e+0, 1.265e-4
1.410e+0, 1.270e-4
1.440e+0, 1.273e-4
1.470e+0, 1.279e-4
1.500e+0, 1.288e-4
1.530e+0, 1.295e-4
1.560e+0, 1.300e-4
1.590e+0, 1.307e-4
1.620e+0, 1.308e-4
1.650e+0, 1.312e-4
1.680e+0, 1.317e-4
1.710e+0, 1.312e-4
1.740e+0, 1.308e-4
1.770e+0, 1.312e-4
1.800e+0, 1.320e-4
1.830e+0, 1.321e-4
1.860e+0, 1.320e-4
1.890e+0, 1.318e-4
1.920e+0, 1.308e-4
1.950e+0, 1.296e-4
1.980e+0, 1.298e-4
2.010e+0, 1.313e-4
2.040e+0, 1.325e-4
2.070e+0, 1.338e-4
2.100e+0, 1.349e-4
2.130e+0, 1.362e-4
2.160e+0, 1.374e-4
2.190e+0, 1.381e-4
2.220e+0, 1.386e-4
2.250e+0, 1.386e-4
2.280e+0, 1.394e-4
2.310e+0, 1.394e-4
2.340e+0, 1.398e-4
2.370e+0, 1.404e-4
2.400e+0, 1.416e-4
2.430e+0, 1.423e-4
2.460e+0, 1.417e-4
2.490e+0, 1.412e-4
2.520e+0, 1.415e-4
2.550e+0, 1.422e-4
2.580e+0, 1.423e-4
2.610e+0, 1.429e-4
2.640e+0, 1.435e-4
2.670e+0, 1.434e-4
2.700e+0, 1.433e-4
2.730e+0, 1.434e-4
2.760e+0, 1.407e-4
2.790e+0, 1.407e-4
2.820e+0, 1.421e-4
2.850e+0, 1.430e-4
2.880e+0, 1.437e-4
2.910e+0, 1.443e-4
2.940e+0, 1.456e-4
2.970e+0, 1.466e-4
3.000e+0, 1.470e-4
3.030e+0, 1.472e-4
3.060e+0, 1.477e-4
3.090e+0, 1.479e-4
3.120e+0, 1.481e-4
3.150e+0, 1.488e-4
3.180e+0, 1.492e-4
3.210e+0, 1.496e-4
3.240e+0, 1.498e-4
3.270e+0, 1.497e-4
3.300e+0, 1.497e-4
3.330e+0, 1.491e-4
3.360e+0, 1.489e-4
3.390e+0, 1.486e-4
3.420e+0, 1.483e-4
3.450e+0, 1.474e-4
3.480e+0, 1.465e-4
3.510e+0, 1.462e-4
3.540e+0, 1.460e-4
3.570e+0, 1.470e-4
3.600e+0, 1.481e-4
3.630e+0, 1.487e-4
3.660e+0, 1.494e-4
3.690e+0, 1.496e-4
3.720e+0, 1.500e-4
3.750e+0, 1.511e-4
3.780e+0, 1.519e-4
3.810e+0, 1.528e-4
3.840e+0, 1.531e-4
3.870e+0, 1.534e-4
3.900e+0, 1.538e-4
3.930e+0, 1.543e-4
3.960e+0, 1.549e-4
3.990e+0, 1.554e-4
4.020e+0, 1.561e-4
4.050e+0, 1.569e-4
4.080e+0, 1.567e-4
4.110e+0, 1.564e-4
4.140e+0, 1.571e-4
4.170e+0, 1.576e-4
4.200e+0, 1.574e-4
4.230e+0, 1.575e-4
4.260e+0, 1.576e-4
4.290e+0, 1.577e-4
4.320e+0, 1.562e-4
4.350e+0, 1.542e-4
4.380e+0, 1.543e-4
4.410e+0, 1.561e-4
4.440e+0, 1.570e-4
4.470e+0, 1.578e-4
4.500e+0, 1.585e-4
4.530e+0, 1.593e-4
4.560e+0, 1.607e-4
4.590e+0, 1.613e-4
4.620e+0, 1.615e-4
4.650e+0, 1.613e-4
4.680e+0, 1.610e-4
4.710e+0, 1.613e-4
4.740e+0, 1.623e-4
4.770e+0, 1.624e-4
4.800e+0, 1.626e-4
4.830e+0, 1.632e-4
4.860e+0, 1.635e-4
4.890e+0, 1.640e-4
4.920e+0, 1.643e-4
4.950e+0, 1.649e-4
4.980e+0, 1.653e-4
5.010e+0, 1.653e-4
5.040e+0, 1.659e-4
5.070e+0, 1.667e-4
5.100e+0, 1.658e-4
5.130e+0, 1.636e-4
5.160e+0, 1.630e-4
5.190e+0, 1.637e-4
5.220e+0, 1.648e-4
5.250e+0, 1.657e-4
5.280e+0, 1.662e-4
5.310e+0, 1.666e-4
5.340e+0, 1.677e-4
5.370e+0, 1.684e-4
5.400e+0, 1.687e-4
5.430e+0, 1.695e-4
5.460e+0, 1.697e-4
5.490e+0, 1.696e-4
5.520e+0, 1.702e-4
5.550e+0, 1.702e-4
5.580e+0, 1.707e-4
5.610e+0, 1.712e-4
5.640e+0, 1.712e-4
5.670e+0, 1.713e-4
5.700e+0, 1.718e-4
5.730e+0, 1.725e-4
