July 5, 2024   00:15:42
Amperometric i-t Curve
File: 1111
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.3
Sample Interval (s) = 0.05
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

Results:

Channel 1:

Time/sec, Current/A

5.000e-2, 4.884e-5
1.000e-1, 2.676e-5
1.500e-1, 2.218e-5
2.000e-1, 6.607e-5
2.500e-1, 1.315e-5
3.000e-1, 3.133e-5
3.500e-1, 2.725e-7
4.000e-1, 3.803e-7
4.500e-1, 5.788e-5
5.000e-1, 7.072e-5
5.500e-1, 7.466e-5
6.000e-1, 6.493e-5
6.500e-1, 5.601e-5
7.000e-1, 2.672e-5
7.500e-1, 5.698e-5
8.000e-1, 2.461e-5
8.500e-1, 5.400e-5
9.000e-1, 7.120e-5
9.500e-1, 6.827e-5
1.000e+0, 6.439e-5
1.050e+0, 5.699e-5
1.100e+0, 4.883e-5
1.150e+0, 4.566e-5
1.200e+0, 4.534e-5
1.250e+0, 4.316e-5
1.300e+0, 3.912e-5
1.350e+0, 3.674e-5
1.400e+0, 4.066e-5
1.450e+0, 1.413e-5
1.500e+0, 3.895e-5
1.550e+0, 4.185e-5
1.600e+0, 4.246e-5
1.650e+0, 4.269e-5
1.700e+0, 4.323e-5
1.750e+0, 4.380e-5
1.800e+0, 4.393e-5
1.850e+0, 4.310e-5
1.900e+0, 4.312e-5
1.950e+0, 4.292e-5
2.000e+0, 4.283e-5
2.050e+0, 4.297e-5
2.100e+0, 4.230e-5
2.150e+0, 4.229e-5
2.200e+0, 4.214e-5
2.250e+0, 4.235e-5
2.300e+0, 4.255e-5
2.350e+0, 4.040e-5
2.400e+0, 2.093e-5
2.450e+0, 9.391e-7
2.500e+0, 8.053e-7
2.550e+0, 3.258e-5
2.600e+0, 3.208e-5
2.650e+0, 3.106e-5
2.700e+0, 3.170e-5
2.750e+0, 2.950e-5
2.800e+0, 2.424e-5
2.850e+0, 2.117e-5
2.900e+0, 1.905e-5
2.950e+0, 1.985e-5
3.000e+0, 2.119e-5
3.050e+0, 2.049e-5
3.100e+0, 2.090e-5
3.150e+0, 2.129e-5
3.200e+0, 2.098e-5
3.250e+0, 2.053e-5
3.300e+0, 2.053e-5
3.350e+0, 2.117e-5
3.400e+0, 2.153e-5
3.450e+0, 2.123e-5
3.500e+0, 2.203e-5
3.550e+0, 2.257e-5
3.600e+0, 2.277e-5
3.650e+0, 2.297e-5
3.700e+0, 2.301e-5
3.750e+0, 2.322e-5
3.800e+0, 2.287e-5
3.850e+0, 2.229e-5
3.900e+0, 2.302e-5
3.950e+0, 2.225e-5
4.000e+0, 2.138e-5
4.050e+0, 2.127e-5
4.100e+0, 2.089e-5
4.150e+0, 2.073e-5
4.200e+0, 2.057e-5
4.250e+0, 2.121e-5
4.300e+0, 2.214e-5
4.350e+0, 2.110e-5
4.400e+0, 2.075e-5
4.450e+0, 2.050e-5
4.500e+0, 1.937e-5
4.550e+0, 1.900e-5
4.600e+0, 1.904e-5
4.650e+0, 1.819e-5
4.700e+0, 1.821e-5
4.750e+0, 1.892e-5
4.800e+0, 1.930e-5
4.850e+0, 1.912e-5
4.900e+0, 1.861e-5
4.950e+0, 1.846e-5
5.000e+0, 1.757e-5
5.050e+0, 1.810e-5
5.100e+0, 1.846e-5
5.150e+0, 1.840e-5
5.200e+0, 1.820e-5
5.250e+0, 1.860e-5
5.300e+0, 1.890e-5
5.350e+0, 1.984e-5
5.400e+0, 2.037e-5
5.450e+0, 2.025e-5
5.500e+0, 2.044e-5
5.550e+0, 2.069e-5
5.600e+0, 2.065e-5
5.650e+0, 1.974e-5
5.700e+0, 2.005e-5
5.750e+0, 2.071e-5
5.800e+0, 2.016e-5
5.850e+0, 1.997e-5
5.900e+0, 2.075e-5
5.950e+0, 2.046e-5
6.000e+0, 2.149e-5
6.050e+0, 2.145e-5
6.100e+0, 2.106e-5
6.150e+0, 2.081e-5
6.200e+0, 2.055e-5
6.250e+0, 2.077e-5
6.300e+0, 2.152e-5
6.350e+0, 2.238e-5
6.400e+0, 2.206e-5
6.450e+0, 2.216e-5
6.500e+0, 1.884e-5
6.550e+0, 1.579e-5
6.600e+0, 1.569e-5
6.650e+0, 1.502e-5
6.700e+0, 1.473e-5
6.750e+0, 1.529e-5
6.800e+0, 1.582e-5
6.850e+0, 1.654e-5
6.900e+0, 1.729e-5
6.950e+0, 1.739e-5
7.000e+0, 1.664e-5
7.050e+0, 1.668e-5
7.100e+0, 1.649e-5
7.150e+0, 1.743e-5
7.200e+0, 1.569e-5
7.250e+0, 1.464e-5
7.300e+0, 1.604e-5
7.350e+0, 1.670e-5
7.400e+0, 1.212e-5
7.450e+0, 9.869e-6
7.500e+0, 1.015e-5
7.550e+0, 1.020e-5
7.600e+0, 1.062e-5
7.650e+0, 1.086e-5
7.700e+0, 1.098e-5
7.750e+0, 1.114e-5
7.800e+0, 1.132e-5
7.850e+0, 1.174e-5
7.900e+0, 1.073e-5
7.950e+0, 1.075e-5
8.000e+0, 1.199e-5
8.050e+0, 8.119e-6
8.100e+0, 8.419e-6
8.150e+0, 8.912e-6
8.200e+0, 1.211e-5
8.250e+0, 1.440e-5
8.300e+0, 1.405e-5
8.350e+0, 1.474e-5
8.400e+0, 1.148e-5
8.450e+0, 9.254e-6
8.500e+0, 7.647e-6
8.550e+0, 7.552e-6
8.600e+0, 6.832e-6
8.650e+0, 7.568e-6
8.700e+0, 6.480e-6
8.750e+0, 4.540e-6
8.800e+0, 4.926e-6
8.850e+0, 4.684e-6
8.900e+0, 5.098e-6
8.950e+0, 3.030e-6
9.000e+0, 3.100e-6
9.050e+0, 2.170e-6
9.100e+0, 3.896e-6
9.150e+0, 1.734e-6
9.200e+0, 2.358e-6
9.250e+0, 4.517e-6
9.300e+0, 5.588e-6
9.350e+0, 6.787e-6
9.400e+0, 7.362e-6
9.450e+0, 7.660e-6
9.500e+0, 8.089e-6
9.550e+0, 8.815e-6
9.600e+0, 8.649e-6
9.650e+0, 9.337e-6
9.700e+0, 1.048e-5
