July 5, 2024   17:37:38
Amperometric i-t Curve
File: 6
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Sample Interval (s) = 0.03
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Results:

Channel 1:

Time/sec, Current/A

3.000e-2, 3.108e-6
6.000e-2, 3.104e-6
9.000e-2, 3.129e-6
1.200e-1, 3.138e-6
1.500e-1, 3.143e-6
1.800e-1, 3.153e-6
2.100e-1, 3.159e-6
2.400e-1, 3.156e-6
2.700e-1, 3.094e-6
3.000e-1, 3.010e-6
3.300e-1, 3.096e-6
3.600e-1, 3.112e-6
3.900e-1, 3.111e-6
4.200e-1, 3.057e-6
4.500e-1, 3.038e-6
4.800e-1, 3.040e-6
5.100e-1, 3.032e-6
5.400e-1, 3.031e-6
5.700e-1, 3.050e-6
6.000e-1, 3.119e-6
6.300e-1, 3.099e-6
6.600e-1, 3.066e-6
6.900e-1, 3.072e-6
7.200e-1, 3.066e-6
7.500e-1, 3.067e-6
7.800e-1, 3.061e-6
8.100e-1, 3.068e-6
8.400e-1, 3.076e-6
8.700e-1, 3.072e-6
9.000e-1, 3.019e-6
9.300e-1, 3.089e-6
9.600e-1, 3.098e-6
9.900e-1, 3.112e-6
1.020e+0, 3.064e-6
1.050e+0, 3.066e-6
1.080e+0, 3.193e-6
1.110e+0, 3.254e-6
1.140e+0, 3.252e-6
1.170e+0, 3.231e-6
1.200e+0, 3.204e-6
1.230e+0, 3.187e-6
1.260e+0, 3.196e-6
1.290e+0, 3.177e-6
1.320e+0, 3.186e-6
1.350e+0, 3.198e-6
1.380e+0, 3.209e-6
1.410e+0, 3.211e-6
1.440e+0, 3.217e-6
1.470e+0, 3.246e-6
1.500e+0, 3.334e-6
1.530e+0, 3.330e-6
1.560e+0, 3.345e-6
1.590e+0, 3.358e-6
1.620e+0, 3.379e-6
1.650e+0, 3.401e-6
1.680e+0, 3.440e-6
1.710e+0, 3.457e-6
1.740e+0, 3.456e-6
1.770e+0, 3.451e-6
1.800e+0, 3.465e-6
1.830e+0, 3.451e-6
1.860e+0, 3.450e-6
1.890e+0, 3.446e-6
1.920e+0, 3.400e-6
1.950e+0, 3.367e-6
1.980e+0, 3.263e-6
2.010e+0, 3.297e-6
2.040e+0, 3.245e-6
2.070e+0, 3.288e-6
2.100e+0, 3.313e-6
2.130e+0, 3.357e-6
2.160e+0, 3.408e-6
2.190e+0, 3.430e-6
2.220e+0, 3.484e-6
2.250e+0, 3.519e-6
2.280e+0, 3.568e-6
2.310e+0, 3.635e-6
2.340e+0, 3.641e-6
2.370e+0, 3.626e-6
2.400e+0, 3.570e-6
2.430e+0, 3.620e-6
2.460e+0, 3.610e-6
2.490e+0, 3.631e-6
2.520e+0, 3.701e-6
2.550e+0, 3.743e-6
2.580e+0, 3.630e-6
2.610e+0, 3.553e-6
2.640e+0, 3.564e-6
2.670e+0, 3.713e-6
2.700e+0, 3.739e-6
2.730e+0, 3.740e-6
2.760e+0, 3.733e-6
2.790e+0, 3.743e-6
2.820e+0, 3.732e-6
2.850e+0, 3.604e-6
2.880e+0, 3.576e-6
2.910e+0, 3.587e-6
2.940e+0, 3.596e-6
2.970e+0, 3.604e-6
3.000e+0, 3.614e-6
3.030e+0, 3.614e-6
3.060e+0, 3.617e-6
3.090e+0, 3.562e-6
3.120e+0, 3.483e-6
3.150e+0, 3.494e-6
3.180e+0, 3.470e-6
3.210e+0, 3.454e-6
3.240e+0, 3.454e-6
3.270e+0, 3.496e-6
3.300e+0, 3.514e-6
3.330e+0, 3.489e-6
3.360e+0, 3.542e-6
3.390e+0, 3.546e-6
3.420e+0, 3.522e-6
3.450e+0, 3.420e-6
3.480e+0, 3.403e-6
3.510e+0, 3.400e-6
3.540e+0, 3.448e-6
3.570e+0, 3.507e-6
3.600e+0, 3.458e-6
3.630e+0, 3.461e-6
3.660e+0, 3.460e-6
3.690e+0, 3.365e-6
3.720e+0, 3.305e-6
3.750e+0, 3.298e-6
3.780e+0, 3.305e-6
3.810e+0, 3.325e-6
3.840e+0, 3.255e-6
3.870e+0, 3.126e-6
3.900e+0, 3.155e-6
3.930e+0, 3.184e-6
3.960e+0, 3.250e-6
3.990e+0, 3.381e-6
4.020e+0, 3.463e-6
4.050e+0, 3.469e-6
4.080e+0, 3.402e-6
4.110e+0, 3.359e-6
4.140e+0, 3.332e-6
4.170e+0, 3.334e-6
4.200e+0, 3.315e-6
4.230e+0, 3.307e-6
4.260e+0, 3.285e-6
4.290e+0, 3.303e-6
4.320e+0, 3.338e-6
4.350e+0, 3.371e-6
4.380e+0, 3.405e-6
4.410e+0, 3.473e-6
4.440e+0, 3.548e-6
4.470e+0, 3.569e-6
4.500e+0, 3.574e-6
4.530e+0, 3.530e-6
4.560e+0, 3.554e-6
4.590e+0, 3.572e-6
4.620e+0, 3.580e-6
4.650e+0, 3.557e-6
4.680e+0, 3.657e-6
4.710e+0, 3.680e-6
4.740e+0, 3.717e-6
4.770e+0, 3.705e-6
4.800e+0, 3.734e-6
4.830e+0, 3.718e-6
4.860e+0, 3.702e-6
4.890e+0, 3.727e-6
4.920e+0, 3.689e-6
4.950e+0, 3.644e-6
4.980e+0, 3.645e-6
5.010e+0, 3.652e-6
5.040e+0, 3.655e-6
5.070e+0, 3.658e-6
5.100e+0, 3.638e-6
5.130e+0, 3.628e-6
5.160e+0, 3.605e-6
5.190e+0, 3.602e-6
5.220e+0, 3.593e-6
5.250e+0, 3.520e-6
5.280e+0, 3.453e-6
5.310e+0, 3.436e-6
5.340e+0, 3.515e-6
5.370e+0, 3.529e-6
5.400e+0, 3.535e-6
5.430e+0, 3.563e-6
5.460e+0, 3.567e-6
5.490e+0, 3.505e-6
5.520e+0, 3.482e-6
5.550e+0, 3.472e-6
5.580e+0, 3.452e-6
5.610e+0, 3.473e-6
5.640e+0, 3.467e-6
5.670e+0, 3.486e-6
5.700e+0, 3.475e-6
5.730e+0, 3.482e-6
5.760e+0, 3.486e-6
5.790e+0, 3.489e-6
5.820e+0, 3.475e-6
5.850e+0, 3.451e-6
5.880e+0, 3.403e-6
5.910e+0, 3.386e-6
5.940e+0, 3.383e-6
5.970e+0, 3.385e-6
6.000e+0, 3.416e-6
6.030e+0, 3.471e-6
6.060e+0, 3.472e-6
6.090e+0, 3.493e-6
6.120e+0, 3.490e-6
6.150e+0, 3.462e-6
6.180e+0, 3.484e-6
6.210e+0, 3.465e-6
6.240e+0, 3.489e-6
6.270e+0, 3.512e-6
6.300e+0, 3.517e-6
6.330e+0, 3.514e-6
6.360e+0, 3.509e-6
6.390e+0, 3.504e-6
6.420e+0, 3.453e-6
6.450e+0, 3.456e-6
6.480e+0, 3.438e-6
6.510e+0, 3.412e-6
6.540e+0, 3.391e-6
6.570e+0, 3.328e-6
6.600e+0, 3.223e-6
6.630e+0, 3.247e-6
6.660e+0, 3.165e-6
6.690e+0, 3.263e-6
6.720e+0, 3.314e-6
6.750e+0, 3.316e-6
6.780e+0, 3.323e-6
6.810e+0, 3.312e-6
6.840e+0, 3.288e-6
6.870e+0, 3.263e-6
6.900e+0, 3.207e-6
6.930e+0, 3.203e-6
6.960e+0, 3.211e-6
6.990e+0, 3.220e-6
7.020e+0, 3.230e-6
7.050e+0, 3.237e-6
7.080e+0, 3.227e-6
7.110e+0, 3.219e-6
7.140e+0, 3.216e-6
7.170e+0, 3.225e-6
7.200e+0, 3.217e-6
7.230e+0, 3.172e-6
7.260e+0, 3.077e-6
7.290e+0, 3.109e-6
7.320e+0, 3.084e-6
7.350e+0, 3.082e-6
7.380e+0, 3.097e-6
7.410e+0, 3.047e-6
7.440e+0, 3.074e-6
7.470e+0, 3.053e-6
7.500e+0, 3.043e-6
7.530e+0, 3.044e-6
7.560e+0, 2.898e-6
7.590e+0, 2.818e-6
7.620e+0, 2.811e-6
7.650e+0, 2.802e-6
7.680e+0, 2.778e-6
7.710e+0, 2.772e-6
7.740e+0, 2.785e-6
7.770e+0, 2.805e-6
7.800e+0, 2.816e-6
7.830e+0, 2.810e-6
7.860e+0, 2.795e-6
7.890e+0, 2.776e-6
7.920e+0, 2.782e-6
7.950e+0, 2.778e-6
7.980e+0, 2.807e-6
8.010e+0, 2.801e-6
8.040e+0, 2.786e-6
8.070e+0, 2.803e-6
8.100e+0, 2.880e-6
8.130e+0, 2.932e-6
8.160e+0, 2.966e-6
8.190e+0, 2.915e-6
8.220e+0, 2.889e-6
8.250e+0, 2.892e-6
8.280e+0, 2.892e-6
8.310e+0, 2.859e-6
8.340e+0, 2.857e-6
8.370e+0, 2.851e-6
8.400e+0, 2.811e-6
8.430e+0, 2.817e-6
8.460e+0, 2.821e-6
8.490e+0, 2.826e-6
8.520e+0, 2.825e-6
8.550e+0, 2.824e-6
8.580e+0, 2.834e-6
8.610e+0, 2.833e-6
8.640e+0, 2.797e-6
8.670e+0, 2.799e-6
8.700e+0, 2.811e-6
8.730e+0, 2.805e-6
8.760e+0, 2.783e-6
8.790e+0, 2.826e-6
8.820e+0, 2.805e-6
8.850e+0, 2.865e-6
8.880e+0, 2.854e-6
8.910e+0, 2.831e-6
8.940e+0, 2.825e-6
8.970e+0, 2.843e-6
9.000e+0, 2.828e-6
9.030e+0, 2.808e-6
9.060e+0, 2.805e-6
9.090e+0, 2.788e-6
9.120e+0, 2.792e-6
9.150e+0, 2.805e-6
9.180e+0, 2.819e-6
9.210e+0, 2.812e-6
9.240e+0, 2.813e-6
9.270e+0, 2.755e-6
9.300e+0, 2.697e-6
9.330e+0, 2.675e-6
9.360e+0, 2.662e-6
9.390e+0, 2.637e-6
9.420e+0, 2.568e-6
9.450e+0, 2.566e-6
9.480e+0, 2.658e-6
9.510e+0, 2.637e-6
9.540e+0, 2.657e-6
9.570e+0, 2.679e-6
9.600e+0, 2.691e-6
9.630e+0, 2.752e-6
9.660e+0, 2.763e-6
9.690e+0, 2.770e-6
9.720e+0, 2.718e-6
9.750e+0, 2.681e-6
9.780e+0, 2.675e-6
9.810e+0, 2.638e-6
9.840e+0, 2.612e-6
9.870e+0, 2.608e-6
9.900e+0, 2.605e-6
9.930e+0, 2.604e-6
9.960e+0, 2.595e-6
9.990e+0, 2.591e-6
1.002e+1, 2.591e-6
1.005e+1, 2.595e-6
1.008e+1, 2.533e-6
1.011e+1, 2.509e-6
1.014e+1, 2.528e-6
1.017e+1, 2.532e-6
1.020e+1, 2.573e-6
1.023e+1, 2.576e-6
1.026e+1, 2.607e-6
1.029e+1, 2.602e-6
1.032e+1, 2.697e-6
1.035e+1, 2.816e-6
1.038e+1, 2.828e-6
1.041e+1, 2.882e-6
1.044e+1, 2.834e-6
1.047e+1, 2.822e-6
1.050e+1, 2.807e-6
1.053e+1, 2.802e-6
1.056e+1, 2.734e-6
1.059e+1, 2.707e-6
1.062e+1, 2.732e-6
