July 5, 2024   17:43:49
Amperometric i-t Curve
File: run unsaved
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Sample Interval (s) = 0.03
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Results:

Channel 1:

Time/sec, Current/A

3.000e-2, 4.430e-6
6.000e-2, 4.439e-6
9.000e-2, 4.438e-6
1.200e-1, 4.428e-6
1.500e-1, 4.433e-6
1.800e-1, 4.436e-6
2.100e-1, 4.469e-6
2.400e-1, 4.539e-6
2.700e-1, 4.559e-6
3.000e-1, 4.524e-6
3.300e-1, 4.575e-6
3.600e-1, 4.635e-6
3.900e-1, 4.616e-6
4.200e-1, 4.635e-6
4.500e-1, 4.634e-6
4.800e-1, 4.625e-6
5.100e-1, 4.621e-6
5.400e-1, 4.591e-6
5.700e-1, 4.597e-6
6.000e-1, 4.595e-6
6.300e-1, 4.583e-6
6.600e-1, 4.603e-6
6.900e-1, 4.562e-6
7.200e-1, 4.564e-6
7.500e-1, 4.590e-6
7.800e-1, 4.602e-6
8.100e-1, 4.577e-6
8.400e-1, 4.582e-6
8.700e-1, 4.631e-6
9.000e-1, 4.628e-6
9.300e-1, 4.616e-6
9.600e-1, 4.613e-6
9.900e-1, 4.577e-6
1.020e+0, 4.579e-6
1.050e+0, 4.516e-6
1.080e+0, 4.506e-6
1.110e+0, 4.592e-6
1.140e+0, 4.610e-6
1.170e+0, 4.670e-6
1.200e+0, 4.693e-6
1.230e+0, 4.659e-6
1.260e+0, 4.649e-6
1.290e+0, 4.651e-6
1.320e+0, 4.648e-6
1.350e+0, 4.632e-6
1.380e+0, 4.586e-6
1.410e+0, 4.597e-6
1.440e+0, 4.672e-6
1.470e+0, 4.695e-6
1.500e+0, 4.654e-6
1.530e+0, 4.632e-6
1.560e+0, 4.711e-6
1.590e+0, 4.737e-6
1.620e+0, 4.614e-6
1.650e+0, 4.650e-6
1.680e+0, 4.446e-6
1.710e+0, 4.443e-6
1.740e+0, 4.395e-6
1.770e+0, 4.190e-6
1.800e+0, 4.060e-6
1.830e+0, 4.011e-6
1.860e+0, 3.998e-6
1.890e+0, 3.795e-6
1.920e+0, 3.680e-6
1.950e+0, 3.799e-6
1.980e+0, 3.916e-6
2.010e+0, 3.952e-6
2.040e+0, 3.865e-6
2.070e+0, 3.692e-6
2.100e+0, 3.759e-6
2.130e+0, 3.811e-6
2.160e+0, 3.748e-6
2.190e+0, 3.568e-6
2.220e+0, 3.742e-6
2.250e+0, 3.771e-6
2.280e+0, 3.902e-6
2.310e+0, 3.986e-6
2.340e+0, 3.997e-6
2.370e+0, 4.043e-6
2.400e+0, 4.029e-6
2.430e+0, 4.123e-6
2.460e+0, 4.083e-6
2.490e+0, 4.141e-6
2.520e+0, 3.993e-6
2.550e+0, 3.920e-6
2.580e+0, 3.967e-6
2.610e+0, 3.944e-6
2.640e+0, 3.985e-6
2.670e+0, 3.963e-6
2.700e+0, 3.939e-6
2.730e+0, 3.907e-6
2.760e+0, 3.808e-6
2.790e+0, 3.818e-6
2.820e+0, 3.919e-6
2.850e+0, 3.971e-6
2.880e+0, 3.953e-6
2.910e+0, 3.899e-6
2.940e+0, 3.852e-6
2.970e+0, 3.750e-6
3.000e+0, 3.672e-6
3.030e+0, 3.579e-6
3.060e+0, 3.565e-6
3.090e+0, 3.603e-6
3.120e+0, 3.634e-6
3.150e+0, 3.625e-6
3.180e+0, 3.619e-6
3.210e+0, 3.667e-6
3.240e+0, 3.709e-6
3.270e+0, 3.733e-6
3.300e+0, 3.720e-6
3.330e+0, 3.699e-6
3.360e+0, 3.744e-6
3.390e+0, 3.773e-6
3.420e+0, 3.772e-6
3.450e+0, 3.785e-6
3.480e+0, 3.877e-6
3.510e+0, 3.854e-6
3.540e+0, 3.842e-6
3.570e+0, 3.819e-6
3.600e+0, 3.952e-6
3.630e+0, 3.975e-6
3.660e+0, 3.961e-6
3.690e+0, 4.000e-6
3.720e+0, 4.022e-6
3.750e+0, 4.105e-6
3.780e+0, 4.190e-6
3.810e+0, 4.220e-6
3.840e+0, 4.217e-6
3.870e+0, 4.231e-6
3.900e+0, 4.206e-6
3.930e+0, 4.209e-6
3.960e+0, 4.262e-6
3.990e+0, 4.263e-6
4.020e+0, 4.259e-6
4.050e+0, 4.253e-6
4.080e+0, 4.248e-6
4.110e+0, 4.244e-6
4.140e+0, 4.251e-6
4.170e+0, 4.241e-6
4.200e+0, 4.051e-6
4.230e+0, 4.056e-6
4.260e+0, 4.035e-6
4.290e+0, 4.032e-6
4.320e+0, 4.020e-6
4.350e+0, 4.038e-6
4.380e+0, 4.174e-6
4.410e+0, 4.198e-6
4.440e+0, 4.192e-6
4.470e+0, 4.208e-6
4.500e+0, 4.214e-6
4.530e+0, 4.219e-6
4.560e+0, 4.240e-6
4.590e+0, 4.260e-6
4.620e+0, 4.284e-6
4.650e+0, 4.342e-6
4.680e+0, 4.327e-6
4.710e+0, 4.322e-6
4.740e+0, 4.320e-6
4.770e+0, 4.331e-6
4.800e+0, 4.362e-6
4.830e+0, 4.356e-6
4.860e+0, 4.350e-6
4.890e+0, 4.382e-6
4.920e+0, 4.369e-6
4.950e+0, 4.384e-6
4.980e+0, 4.366e-6
5.010e+0, 4.337e-6
5.040e+0, 4.337e-6
5.070e+0, 4.334e-6
5.100e+0, 4.336e-6
5.130e+0, 4.338e-6
5.160e+0, 4.330e-6
5.190e+0, 4.316e-6
5.220e+0, 4.325e-6
5.250e+0, 4.352e-6
5.280e+0, 4.373e-6
5.310e+0, 4.375e-6
5.340e+0, 4.380e-6
5.370e+0, 4.387e-6
5.400e+0, 4.312e-6
5.430e+0, 4.334e-6
5.460e+0, 4.362e-6
5.490e+0, 4.363e-6
5.520e+0, 4.361e-6
5.550e+0, 4.398e-6
5.580e+0, 4.479e-6
5.610e+0, 4.384e-6
5.640e+0, 4.399e-6
5.670e+0, 4.477e-6
5.700e+0, 4.400e-6
5.730e+0, 4.371e-6
5.760e+0, 4.368e-6
5.790e+0, 4.369e-6
5.820e+0, 4.330e-6
5.850e+0, 4.328e-6
5.880e+0, 4.329e-6
5.910e+0, 4.334e-6
5.940e+0, 4.356e-6
5.970e+0, 4.345e-6
6.000e+0, 4.350e-6
6.030e+0, 4.344e-6
6.060e+0, 4.345e-6
6.090e+0, 4.347e-6
6.120e+0, 4.334e-6
6.150e+0, 4.339e-6
6.180e+0, 4.333e-6
6.210e+0, 4.321e-6
6.240e+0, 4.336e-6
6.270e+0, 4.361e-6
6.300e+0, 4.362e-6
6.330e+0, 4.361e-6
6.360e+0, 4.365e-6
6.390e+0, 4.359e-6
6.420e+0, 4.370e-6
6.450e+0, 4.375e-6
6.480e+0, 4.389e-6
6.510e+0, 4.375e-6
6.540e+0, 4.385e-6
6.570e+0, 4.401e-6
6.600e+0, 4.393e-6
6.630e+0, 4.393e-6
6.660e+0, 4.372e-6
6.690e+0, 4.369e-6
6.720e+0, 4.371e-6
6.750e+0, 4.361e-6
6.780e+0, 4.365e-6
6.810e+0, 4.373e-6
6.840e+0, 4.386e-6
6.870e+0, 4.392e-6
6.900e+0, 4.382e-6
6.930e+0, 4.366e-6
6.960e+0, 4.370e-6
6.990e+0, 4.365e-6
7.020e+0, 4.342e-6
7.050e+0, 4.335e-6
7.080e+0, 4.350e-6
7.110e+0, 4.372e-6
7.140e+0, 4.369e-6
7.170e+0, 4.362e-6
7.200e+0, 4.370e-6
7.230e+0, 4.385e-6
7.260e+0, 4.378e-6
7.290e+0, 4.378e-6
7.320e+0, 4.375e-6
7.350e+0, 4.388e-6
7.380e+0, 4.390e-6
7.410e+0, 4.384e-6
7.440e+0, 4.385e-6
7.470e+0, 4.429e-6
7.500e+0, 4.439e-6
7.530e+0, 4.439e-6
7.560e+0, 4.441e-6
7.590e+0, 4.452e-6
7.620e+0, 4.449e-6
7.650e+0, 4.447e-6
7.680e+0, 4.443e-6
7.710e+0, 4.457e-6
7.740e+0, 4.580e-6
7.770e+0, 4.593e-6
7.800e+0, 4.597e-6
7.830e+0, 4.615e-6
7.860e+0, 4.623e-6
7.890e+0, 4.615e-6
7.920e+0, 4.625e-6
7.950e+0, 4.629e-6
7.980e+0, 4.635e-6
8.010e+0, 4.641e-6
8.040e+0, 4.635e-6
8.070e+0, 4.607e-6
8.100e+0, 4.646e-6
8.130e+0, 4.646e-6
8.160e+0, 4.647e-6
8.190e+0, 4.655e-6
