23/12/15 16:17:55
,Ch,,Vanode(Vout1)
Time (s),I (A),ΔI/I0 (%),Voltage(V)
0.018000001087784767,7.1427E-5,0.0,0.5000
0.07400000095367432,7.3044E-5,0.0,0.5000
0.13199999928474426,7.3219E-5,0.0,0.5000
0.18900001049041748,7.3611E-5,0.0,0.5000
0.23999999463558197,7.4558E-5,0.0,0.5000
0.2980000078678131,7.365E-5,0.0,0.5000
0.3659999966621399,7.464E-5,0.0,0.5000
0.4189999997615814,7.7009E-5,0.0,0.5000
0.4749999940395355,7.3206E-5,0.0,0.5000
0.5260000228881836,7.2856E-5,0.0,0.5000
0.5760000348091125,7.2492E-5,0.0,0.5000
0.6540000438690186,7.3853E-5,0.0,0.5000
0.7050000429153442,7.6533E-5,0.0,0.5000
0.7580000758171082,7.5204E-5,0.0,0.5000
0.8100001215934753,7.2963E-5,0.0,0.5000
0.8660000562667847,7.2132E-5,0.0,0.5000
0.9170001149177551,7.4726E-5,0.0,0.5000
0.9810001254081726,7.6699E-5,0.0,0.5000
1.033000111579895,7.6316E-5,0.0,0.5000
1.0990002155303955,7.6537E-5,0.2895853297105453,0.5000
1.1500000953674316,7.7952E-5,2.143717040410091,0.5000
1.220000147819519,7.7971E-5,2.168619815191284,0.5000
1.279000163078308,7.5689E-5,-0.821581820059147,0.5000
1.3350001573562622,7.5496E-5,-1.0744803667076597,0.5000
1.3870002031326294,7.4385E-5,-2.530263020780946,0.5000
1.445000171661377,7.4015E-5,-3.015094876044341,0.5000
1.4970000982284546,7.689E-5,0.7521362566953617,0.5000
1.5490001440048218,7.7085E-5,1.0076566498464885,0.5000
1.6060000658035278,7.8354E-5,2.670479371740747,0.5000
1.6700000762939453,7.5514E-5,-1.0508932821714152,0.5000
1.7300000190734863,7.8092E-5,2.3271700236948187,0.5000
1.7949999570846558,7.7113E-5,1.0443434329085213,0.5000
1.847000002861023,7.6654E-5,0.44290137919613426,0.5000
1.8990000486373901,7.8632E-5,3.0347539578203055,0.5000
1.9610000848770142,7.6971E-5,0.8582781371084617,0.5000
2.0250000953674316,7.6937E-5,0.813725814538587,0.5000
2.0890002250671387,7.9458E-5,4.117090330048525,0.5000
2.140000104904175,7.9975E-5,4.794537330374873,0.5000
2.204000234603882,7.948E-5,4.145921107589998,0.5000
2.256000518798828,7.8397E-5,2.726825236578744,0.5000
2.316000461578369,7.8929E-5,3.4239217846937744,0.5000
2.375000476837158,8.0736E-5,5.791706594210906,0.5000
2.4270005226135254,8.1221E-5,6.4272231184699935,0.5000
2.4810004234313965,7.9438E-5,4.090890932996949,0.5000
2.5340003967285156,7.9564E-5,4.255990990763378,0.5000
2.586000442504883,8.169E-5,7.04177440469545,0.5000
2.640000343322754,7.9471E-5,4.134127565321875,0.5000
2.701000213623047,7.907E-5,3.6086809242361677,0.5000
2.752000331878662,7.8521E-5,2.889303447842559,0.5000
2.8340003490448,7.6134E-5,-0.2384831578777764,0.5000
2.894000291824341,8.0654E-5,5.684258557540139,0.5000
2.946000576019287,7.8671E-5,3.085856129653074,0.5000
3.017000436782837,7.6877E-5,0.7350990214220113,0.5000
3.073000431060791,7.6854E-5,0.7049620876228728,0.5000
3.14400053024292,7.678E-5,0.6080014369625633,0.5000
3.202000617980957,8.2543E-5,8.15950093771532,0.5000
3.256000518798828,8.8478E-5,15.936374363832781,0.5000
3.3070006370544434,8.1225E-5,6.432466811475221,0.5000
3.3610007762908936,8.0854E-5,5.946328799954161,0.5000
3.4120006561279297,8.0941E-5,6.060326685887821,0.5000
3.464000701904297,8.0283E-5,5.1981300800063615,0.5000
3.520000696182251,7.9475E-5,4.139371258327103,0.5000
3.571000814437866,7.7625E-5,1.7152405839719755,0.5000
3.6240007877349854,7.8016E-5,2.2275779925446124,0.5000
3.6780006885528564,7.9658E-5,4.379160572462546,0.5000
3.7340006828308105,8.0063E-5,4.909850906553482,0.5000
3.7990007400512695,8.2615E-5,8.253839741873016,0.5000
3.8550007343292236,8.0983E-5,6.115366394468151,0.5000
3.9150009155273438,7.6476E-5,0.2096523803363038,0.5000
3.967000961303711,7.7617E-5,1.7047531979615191,0.5000
4.018001079559326,7.7968E-5,2.1646822784437214,0.5000
4.078001022338867,7.9589E-5,4.28874977106513,0.5000
4.132000923156738,7.9525E-5,4.204888818930609,0.5000
4.186000823974609,7.8946E-5,3.446202712972353,0.5000
4.237000465393066,7.7258E-5,1.2343462654561428,0.5000
4.291000843048096,7.7272E-5,1.252689656987159,0.5000
4.345001220703125,8.1856E-5,7.259292324539597,0.5000
4.408000946044922,7.9903E-5,4.700198526217178,0.5000
4.463001251220703,7.7377E-5,1.3902746274570634,0.5000
4.540001392364502,7.7464E-5,1.5042725133907233,0.5000
4.592001438140869,7.7733E-5,1.85675355720216,0.5000
4.643001556396484,7.6926E-5,0.7993104257678506,0.5000
4.6940016746521,7.5436E-5,-1.153097625836953,0.5000
4.753002166748047,7.5806E-5,-0.6682753045608402,0.5000
4.817001819610596,7.7273E-5,1.2539958132448248,0.5000
4.869001865386963,7.5793E-5,-0.6853030058469084,0.5000
4.923002243041992,7.4077E-5,-2.9338557704124337,0.5000
4.982002258300781,7.3977E-5,-3.0648908916194437,0.5000
5.039001941680908,7.3507E-5,-3.6807483341025673,0.5000
5.096002578735352,7.3779E-5,-3.3243297535435685,0.5000
5.149002552032471,7.3758E-5,-3.3518543748273752,0.5000
5.209002494812012,7.3924E-5,-3.134336454983229,0.5000
5.266002178192139,7.4684E-5,-2.138473347404863,0.5000
5.328002452850342,7.4631E-5,-2.207918910768648,0.5000
5.384002685546875,7.4656E-5,-2.1751601304668955,0.5000
5.441002368927002,7.5632E-5,-0.8962710764281604,0.5000
5.493002891540527,8.1001E-5,6.138953479004396,0.5000
5.547002792358398,7.662E-5,0.3983490566262594,0.5000
5.599002838134766,7.6969E-5,0.8556562906058477,0.5000
5.655002593994141,7.6602E-5,0.374761972090015,0.5000
5.715002536773682,7.9251E-5,3.8458579258562784,0.5000
5.780002593994141,7.8023E-5,2.2367496883101206,0.5000
5.83200216293335,7.9546E-5,4.232403906227134,0.5000
5.886002540588379,7.7486E-5,1.5331032909321962,0.5000
5.936002254486084,7.6758E-5,0.5791706594210906,0.5000
5.992002487182617,7.784E-5,1.9969603741746784,0.5000
6.056002616882324,8.2081E-5,7.55412134725537,0.5000
6.127002716064453,7.7975E-5,2.1738539742092295,0.5000
6.181002616882324,7.8048E-5,2.2695084686118734,0.5000
6.234002590179443,7.7255E-5,1.2304087287085805,0.5000
6.295002460479736,8.02E-5,5.089366353090647,0.5000
6.355002403259277,7.939E-5,4.0279952188960575,0.5000
6.4130024909973145,7.8864E-5,3.338754676301587,0.5000
6.476002216339111,7.6441E-5,0.16379390150876302,0.5000
6.527002334594727,7.6876E-5,0.7337928651643454,0.5000
6.583002090454102,8.1852E-5,7.254048631534368,0.5000
6.643002510070801,7.8204E-5,2.4739266899302312,0.5000
6.695002555847168,7.7427E-5,1.4557921880605686,0.5000
6.754002571105957,7.4506E-5,-2.371712812277411,0.5000
6.812002182006836,7.4124E-5,-2.8722662125692087,0.5000
6.864002704620361,7.5167E-5,-1.5055786696483895,0.5000
6.915002346038818,7.5303E-5,-1.32736937936889,0.5000
6.969002723693848,7.5385E-5,-1.2199213426981241,0.5000
7.029003143310547,7.5286E-5,-1.3496503076474686,0.5000
7.079002857208252,7.5045E-5,-1.6654445683968726,0.5000
7.140002727508545,7.5976E-5,-0.44551369171146604,0.5000
7.201003074645996,8.0918E-5,6.030189752088682,0.5000
7.264002799987793,7.4459E-5,-2.433302370120636,0.5000
7.314002513885498,7.3143E-5,-4.15771464985812,0.5000
7.371002674102783,7.3361E-5,-3.872057322907855,0.5000
7.437002658843994,7.3963E-5,-3.0832342831504604,0.5000
7.496002674102783,7.3464E-5,-3.7370941989405644,0.5000
7.558002471923828,7.3813E-5,-3.279786964960976,0.5000
7.628002166748047,7.5444E-5,-1.1426197738137789,0.5000
7.679002285003662,7.6541E-5,0.29482902271577344,0.5000
7.737002372741699,7.743E-5,1.4597201908208486,0.5000
7.802002429962158,7.9246E-5,3.8392985426061017,0.5000
7.855002403259277,7.3771E-5,-3.334817139554025,0.5000
7.9120025634765625,7.3517E-5,-3.6676391015894967,0.5000
7.97100305557251,7.3801E-5,-3.295508509989378,0.5000
8.040002822875977,7.3721E-5,-3.4003347001575297,0.5000
8.094002723693848,7.3852E-5,-3.228675259140925,0.5000
8.149003982543945,7.3836E-5,-3.249640497174555,0.5000
8.201004028320312,7.3216E-5,-4.062060155455476,0.5000
8.262002944946289,7.3276E-5,-3.983433362338901,0.5000
8.314002990722656,7.4885E-5,-1.8750969487331761,0.5000
8.37600326538086,7.609E-5,-0.29613517897343933,0.5000
8.43000316619873,7.6473E-5,0.20572437757602374,0.5000
8.481002807617188,7.4709E-5,-2.1057145671031106,0.5000
