July 4, 2024   23:30:10
Amperometric i-t Curve
File: 0.3-0.04
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.3
Sample Interval (s) = 0.04
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

Results:

Channel 1:

Time/sec, Current/A

4.000e-2, 2.076e-5
8.000e-2, 2.153e-5
1.200e-1, 2.264e-5
1.600e-1, 2.278e-5
2.000e-1, 2.426e-5
2.400e-1, 2.492e-5
2.800e-1, 2.574e-5
3.200e-1, 2.646e-5
3.600e-1, 2.708e-5
4.000e-1, 2.747e-5
4.400e-1, 2.776e-5
4.800e-1, 2.830e-5
5.200e-1, 2.870e-5
5.600e-1, 2.917e-5
6.000e-1, 3.014e-5
6.400e-1, 3.091e-5
6.800e-1, 3.103e-5
7.200e-1, 3.122e-5
7.600e-1, 3.131e-5
8.000e-1, 3.166e-5
8.400e-1, 3.230e-5
8.800e-1, 3.319e-5
9.200e-1, 3.411e-5
9.600e-1, 3.475e-5
1.000e+0, 3.536e-5
1.040e+0, 3.604e-5
1.080e+0, 3.642e-5
1.120e+0, 3.671e-5
1.160e+0, 3.701e-5
1.200e+0, 3.734e-5
1.240e+0, 3.784e-5
1.280e+0, 3.872e-5
1.320e+0, 3.927e-5
1.360e+0, 3.961e-5
1.400e+0, 3.994e-5
1.440e+0, 3.991e-5
1.480e+0, 4.052e-5
1.520e+0, 4.094e-5
1.560e+0, 4.133e-5
1.600e+0, 4.191e-5
1.640e+0, 4.247e-5
1.680e+0, 4.286e-5
1.720e+0, 4.322e-5
1.760e+0, 4.370e-5
1.800e+0, 4.390e-5
1.840e+0, 4.409e-5
1.880e+0, 4.465e-5
1.920e+0, 4.504e-5
1.960e+0, 4.573e-5
2.000e+0, 4.606e-5
2.040e+0, 4.638e-5
2.080e+0, 4.671e-5
2.120e+0, 4.712e-5
2.160e+0, 4.681e-5
2.200e+0, 4.664e-5
2.240e+0, 4.678e-5
2.280e+0, 4.669e-5
2.320e+0, 4.699e-5
2.360e+0, 4.743e-5
2.400e+0, 4.789e-5
2.440e+0, 4.834e-5
2.480e+0, 4.868e-5
2.520e+0, 4.907e-5
2.560e+0, 4.933e-5
2.600e+0, 4.946e-5
2.640e+0, 4.986e-5
2.680e+0, 5.018e-5
2.720e+0, 5.034e-5
2.760e+0, 5.072e-5
2.800e+0, 5.105e-5
2.840e+0, 5.147e-5
2.880e+0, 5.188e-5
2.920e+0, 5.241e-5
2.960e+0, 5.194e-5
3.000e+0, 5.211e-5
3.040e+0, 5.210e-5
3.080e+0, 5.239e-5
3.120e+0, 5.283e-5
3.160e+0, 5.320e-5
3.200e+0, 5.371e-5
3.240e+0, 5.429e-5
3.280e+0, 5.464e-5
3.320e+0, 5.500e-5
3.360e+0, 5.520e-5
3.400e+0, 5.545e-5
3.440e+0, 5.576e-5
3.480e+0, 5.616e-5
3.520e+0, 5.660e-5
3.560e+0, 5.688e-5
3.600e+0, 5.704e-5
3.640e+0, 5.729e-5
3.680e+0, 5.766e-5
3.720e+0, 5.740e-5
3.760e+0, 5.711e-5
3.800e+0, 5.727e-5
3.840e+0, 5.733e-5
3.880e+0, 5.770e-5
3.920e+0, 5.806e-5
3.960e+0, 5.863e-5
4.000e+0, 5.897e-5
4.040e+0, 5.915e-5
4.080e+0, 5.948e-5
4.120e+0, 5.987e-5
4.160e+0, 6.010e-5
4.200e+0, 6.020e-5
4.240e+0, 6.037e-5
4.280e+0, 6.083e-5
4.320e+0, 6.114e-5
4.360e+0, 6.149e-5
4.400e+0, 6.166e-5
4.440e+0, 6.175e-5
4.480e+0, 6.216e-5
4.520e+0, 6.196e-5
4.560e+0, 6.167e-5
4.600e+0, 6.166e-5
4.640e+0, 6.149e-5
4.680e+0, 6.158e-5
4.720e+0, 6.197e-5
4.760e+0, 6.259e-5
4.800e+0, 6.292e-5
4.840e+0, 6.353e-5
4.880e+0, 6.375e-5
4.920e+0, 6.411e-5
4.960e+0, 6.407e-5
5.000e+0, 6.435e-5
5.040e+0, 6.466e-5
5.080e+0, 6.509e-5
5.120e+0, 6.526e-5
5.160e+0, 6.557e-5
5.200e+0, 6.583e-5
5.240e+0, 6.616e-5
5.280e+0, 6.626e-5
5.320e+0, 6.620e-5
5.360e+0, 6.559e-5
5.400e+0, 6.538e-5
5.440e+0, 6.545e-5
5.480e+0, 6.580e-5
5.520e+0, 6.580e-5
5.560e+0, 6.569e-5
5.600e+0, 6.594e-5
5.640e+0, 6.595e-5
5.680e+0, 6.563e-5
5.720e+0, 6.529e-5
5.760e+0, 6.521e-5
5.800e+0, 6.524e-5
5.840e+0, 6.567e-5
5.880e+0, 6.627e-5
5.920e+0, 6.668e-5
5.960e+0, 6.699e-5
6.000e+0, 6.768e-5
6.040e+0, 6.806e-5
6.080e+0, 6.828e-5
6.120e+0, 6.816e-5
6.160e+0, 6.822e-5
6.200e+0, 6.866e-5
6.240e+0, 6.817e-5
6.280e+0, 6.807e-5
6.320e+0, 6.847e-5
6.360e+0, 6.881e-5
6.400e+0, 6.914e-5
6.440e+0, 6.935e-5
6.480e+0, 6.947e-5
6.520e+0, 6.934e-5
6.560e+0, 6.911e-5
6.600e+0, 6.889e-5
6.640e+0, 6.914e-5
6.680e+0, 6.939e-5
6.720e+0, 6.945e-5
6.760e+0, 6.957e-5
6.800e+0, 6.971e-5
6.840e+0, 6.964e-5
6.880e+0, 6.949e-5
6.920e+0, 6.934e-5
6.960e+0, 6.924e-5
7.000e+0, 6.915e-5
7.040e+0, 6.909e-5
